ean,name,price,quantity
3502632480,Camera Lens Cleaning Kit,14.99,12
8034336157,Induction Cooktop,89.99,46
9739843476,Black Bean Spaghetti,3.99,80
3409637214,Tahini,5.49,65
9441940836,Toilet Paper (12 rolls),8.99,65
8709691863,Mango Chili Salsa,4.29,4
1386416347,Kids' Gardening Tools Set,22.99,21
8538986031,Almond Flour Biscuits,6.49,55
9133658862,Kids Tablet,129.99,66
4208979232,Portable Dog Water Bottle,18.99,21
1275450180,Almond Flour Cookies,4.99,38
0602866367,Ceramic Planter Set,39.99,38
3560334950,Baked Mac and Cheese,5.99,76
1281199141,Lightweight Rain Jacket,79.99,60
1690622725,Classic Cheeseburger Mix,5.49,33
9309799536,High-Speed HDMI Cable,12.99,35
4027444086,Bamboo Charcoal Air Purifier Bags,12.99,70
9057575973,Trail Mix (Deluxe),4.59,9
4246330833,Plant Growing Kit,22.99,23
2336893037,Fruit Infuser Water Bottle,15.99,22
4336706875,Digital Food Scale,22.99,50
2333320931,Almond Flour Pancake Mix,5.99,46
6383198564,Tomatillo Salsa,3.29,2
1207308994,Spicy Hummus,3.49,25
3218249430,Faux Fur Coat,129.99,58
2146780134,Green Smoothie Mix,5.99,87
4212940523,Classic Slim Fit Shirt,49.99,15
4184066941,Ceramic Knife Set,39.99,41
5497715966,Antique Style Clock,39.99,15
4587763748,Portable Phone Mug Holder,14.99,34
7557045246,Cold Brew Coffee Maker,34.99,71
9804438682,Foam Building Blocks for Kids,22.99,22
3355467960,Almond Milk,3.29,66
0939307669,Tomato Paste,1.29,63
9097262836,Rainbow Veggie Chips,3.29,49
1957641487,Coconut Curry Lentil Soup,3.99,9
4774547123,Adjustable Skipping Rope,12.99,48
6871767266,Almond Crunch Granola Bars,3.49,95
4252010993,Rechargeable Battery Organizer,17.99,67
0341676195,Insulated Coffee Mug,24.99,81
4015679369,Organic Fruit Salad,4.49,6
2863700707,Luxury Bath Salts,19.99,45
4490515006,Jalapeño Cornbread,3.29,64
2112628739,Greek Yogurt Parfait,4.49,72
8472365018,Hummus Trio Pack,5.49,34
9443185873,Hand Crank Blender,18.99,6
5404346132,Electric Pressure Cooker,89.99,5
6597286642,Mango Chutney,3.99,61
4628564531,Graphic Hoodie,49.99,48
7275035162,Yoga Mat,25,19
4551337986,Teriyaki Stir-Fry Sauce,3.49,5
6101984516,Over-Ear Headphones,59.99,41
4658942887,Greek Yogurt,1.99,16
9047740882,Basil Pesto Pasta,6.49,28
9552352274,Craft Beer Mustard,3.99,12
0284448435,Watercolor Paint Set,19.99,91
7396067715,Heart-Shaped Baking Molds,10.99,15
5149960241,Whisk Set,12.99,36
6158135747,Sports Windbreaker,44.99,77
0938738453,Decorative LED Neon Sign,45.99,46
2047200253,Personalized Cutting Board,34.99,63
2415595020,Electric Hot Pot,49.99,80
2952192502,Vegetable Broth,2.29,41
1953696201,Reversible Swimming Pool Lounger,34.99,10
6644153895,Waterproof Rain Boots,69.99,72
5329664675,Craft Beer Mustard,3.99,83
9094240394,Maple Breakfast Sausage,5.99,54
5046473712,Fruit and Nut Medley,5.99,78
7287975149,First Aid Kit,29.99,68
2731609699,Customizable Photo Calendar,19.99,61
7677559166,Smartphone Gimbal,89.99,54
5289124802,Recipe Book Stand,22.99,36
6345725692,Wireless Induction Charger,19.99,10
5633031148,Smartphone Tripod with Remote,29.99,55
8136415706,Smart Thermostat with Wi-Fi,169.99,5
7486711052,Faux Fur Coat,129.99,64
9938965873,Comfy Slippers,29.99,46
7778256584,Smart Doorbell,119.99,68
9605141337,Ergonomic Gaming Chair,199.99,9
4357512182,Personal Blender with Travel Lid,34.99,38
2549471113,Insulated Wine Tote,24.99,51
7854697442,Mediterranean Flatbread,3.5,12
1382513615,Whole Chicken,12.99,16
8265215479,Turmeric Ginger Tea,3.29,70
7593221997,Herbed Goat Cheese,5.49,3
8474312817,Canned Sardines,3.29,60
1237208009,Basketball,29.99,66
3533391361,Foam Roller for Muscle Recovery,29.99,40
6691201914,Stylish Wireless Earbuds,59.99,37
7341961031,Lightweight Travel Backpack,39.99,1
2228830585,Adjustable Laptop Desk,59.99,74
2227296119,Hair Dryer,39.99,24
6049396884,Ergonomic Mouse Pad with Wrist Support,14.99,32
1952391350,Chipotle Black Bean Burger,4.99,22
4624760832,Tomato Sauce,2.79,19
5715931568,Miso Soup Mix,3.29,55
5725580512,Sweet Chili Sauce,2.99,75
3943092151,Tahini,5.49,44
4258918628,Collapsible Pet Dog Bowl,9.99,20
1519445989,Cocktail Shaker Set,29.99,3
0779832574,Poppy Seed Dressing,3.49,34
8989986133,Adjustable Pedicure Footrest,39.99,60
2377682189,Adjustable Standing Desk,299.99,20
6529899316,Relaxed Fit Henley Shirt,29.99,90
1710417463,Under Desk Footrest,29.99,99
6808986614,Chocolate Chip Energy Balls,3.99,97
0116024585,Ricotta Cheese,4.99,55
9688253413,Frozen Pizza,7.99,19
5097348613,Organic Black Bean Burger,4.49,98
0848882180,Wireless Mouse,25.99,66
8927510119,Tattoo Kit,99.99,59
7406936923,Memory Foam Pillow,39.99,20
3524732216,Chunky Knit Sweater,59.99,82
3325025331,Fruit Medley Juice,3.49,80
7641900313,Watercolor Brush Pens,19.99,94
7716285327,Surimi Crab Sticks,4.19,90
8457596950,Heavy-Duty Utility Tote,34.99,60
6569428780,Honey-Balsamic Vinaigrette,3.39,94
6487490164,Vegetable Spring Rolls,6.49,74
3021362516,Graphic Hoodie,49.99,60
0651084466,Scent Diffuser Oil,14.99,70
8366290972,Electric Milk Frother,19.99,24
5246021963,Casual Cropped Sweater,39.99,47
9992528044,Compact Electric Kettle,29.99,93
6873559210,Cushion Covers,35,37
5744878955,Red Lentils,1.99,27
2699956279,Hummus,4.29,13
2388621682,Grapes (red),3.49,11
3647381616,Water Bottle,18.99,8
3428460812,Maple Pecan Pancake Mix,4.99,20
9094876388,Two-Tone Windbreaker,59.99,35
1762037165,Organic Whole Grain Oats,2.49,58
5955794875,Wrap Jumpsuit,54.99,81
2249193126,Adjustable Dog Harness,24.99,37
5523724912,Lockable Bicycle Chain,19.99,36
4375709731,Chickpea Pancakes,4.99,30
6675019155,Chia Seed Pudding,3.99,74
7560347819,Denim Jacket,69.99,98
8186964495,Baked Falafel Balls,5.99,27
8358389450,LED Strip Light Kit,39.99,93
2501248198,Non-Stick Baking Sheet,18.99,59
0589713698,Collapsible Water Bottle,12.99,84
8417984356,Tomato Basil Pasta Sauce,3.99,75
9559658247,Travel Luggage Scale,14.99,56
4584862753,Travel Jewelry Case,24.99,73
5107144128,Maple Almond Yogurt,1.89,58
6110357413,Vegetable Stock,2.49,84
1541916174,Pesto Pasta Salad,4.99,60
4259376020,Wireless Gaming Mouse,39.99,39
2326375483,Biodegradable Dog Waste Bags,14.99,8
0059217057,Nutty Trail Mix,4.29,55
4340932272,Pet Carrier Backpack,39.99,25
7831816976,Compact Electric Kettle,29.99,1
3999937033,Electric Toothbrush,49.95,25
7108429322,Pet Tracking Collar,59.99,9
0398114587,Scent Diffuser,34.99,37
8174375813,Mango Chunks,4.89,50
5622275253,Non-Toxic Crayons for Kids,10.99,12
9898377208,Chocolate Chip Cliff Bars,2.49,49
6128597831,Decorative Wall Tapestry,34.99,82
8689803149,Children's Gardening Set,19.99,73
5687241469,Coloring Books for Adults,14.99,26
6724335477,Magnetic Spice Jars,24.99,56
0409656933,Savory Trail Mix,4.29,45
8173467439,Portable Ice Maker,199.99,47
5821042062,Vegan Protein Powder,34.99,46
3496662581,Spinach Artichoke Dip,4.99,39
0061032778,Beard Grooming Kit,34.99,68
6988101888,Cranberry Almond Cookies,4.29,24
0947437746,Essential White Button-Up,44.99,55
1605225371,Camping Tent,79.99,30
2885699787,Electric Wine Opener,29.99,2
2456824008,Interactive Plush Toy,34.99,96
5682285182,Tofu,2.49,76
3878119518,Yoga Strap,12.99,56
9149057200,Leather Crossbody Bag,89.99,21
5555859759,Apricot Jam,4.29,17
4393015002,Organic Cereal Bars,4.29,43
5210948293,Plant-Based Cookbook,29.99,7
8693491016,Beef Stew Meat,5.99,96
0850076900,Maple Syrup,6.99,43
2648134247,Surimi Crab Sticks,4.19,60
3380962473,Plant-Based Cookbook,29.99,44
8749512803,Bamboo Cutting Board,22,71
9852247956,Fitness Resistance Bands Set,34.99,17
3224112670,Photo Album,24.99,100
3631787979,Indestructible Dog Toy,15.99,23
5308338868,Body Wash,12.99,2
5008459309,Herbal Tea Infuser,9.99,54
1414894813,Wireless Gaming Headset,89.99,58
3715300833,Veggie Chips Variety Pack,3.79,81
2375397150,Outdoor Camping Hammock,29.99,57
5330828139,Pumpkin Spice Creamer,3.79,35
3700651112,Sushi Roll Kit,9.99,82
3631728832,Kale and Quinoa Salad,6.49,36
4891377038,Kale Chips,3.99,45
9990028508,Quinoa,4.49,89
4777020061,Savory Italian Herbs,2.99,25
9671780628,Essential Oil Roller Bottles,19.99,61
2253946427,Himalayan Salt Grinder,4.99,50
4346853161,Fleece Lined Leggings,29.99,46
2666322025,Ice Cube Tray with Lid,10.99,61
6396213184,Sweet and Spicy Barbecue Sauce,3.99,66
5234974103,Portable Solar Charger,29.99,25
9113634534,Cranberry Citrus Sauce,3.99,2
3961096384,Apricot Jam,4.29,67
5286336450,Caribbean Jerk Marinade,3.79,84
4019270465,Chocolate Coconut Protein Balls,2.99,48
1924201151,Cotton Basic Tank,14.99,33
7990231743,Caraway Rye Bread,4.79,36
4570649327,Wireless Charging Pad,19.99,68
4668186120,Almond Flour,5.99,73
1995350710,Chipotle Black Bean Salad,3.29,60
1404057498,Cacao Nibs,6.49,27
0538004177,Peanut Butter Filled Pretzels,3.99,92
2272579825,Beef Tacos,5.49,77
0921851782,Red Lentils,1.99,59
9018152129,Sunglasses Case,15.99,81
5431698788,Electric Air Pump,29.99,68
7648448149,Sweet Potatoes (organic),1.99,16
4695810751,Fresh Basil,1.99,56
7839375375,Multifunctional Baby Bottle Warmer,39.99,36
8542784650,Sustainable Wooden Toys,29.99,59
6276856460,Trail Mix (Deluxe),4.59,11
4956577796,Whole Wheat Bread,2.49,86
1806102315,Graphic Hoodie,49.99,12
7879835598,Bamboo Cotton Tank Top,22.99,5
6394181862,Lemon Herb Chicken,7.49,15
6183862401,Coconut Oil,6.49,36
6898297384,Himalayan Salt Grinder,4.99,39
6796018044,Backpacking Tent,109.99,22
3017931544,Tahini,5.49,27
0103866280,Pet Water Fountain with Filtration,39.99,25
3612680811,Car Vacuum,49.99,11
0197445381,Garlic Parmesan Roasted Nuts,4.89,21
2803272598,High-Speed Blender,99.99,48
2996150309,Almond Flour Biscuits,6.49,93
6211480776,Dark Chocolate Tart,6.29,79
5961559130,Chocolate Fudge Ice Cream,5.99,68
2254043986,Chickpea Salad Deluxe,4.29,2
7352678786,Lemon Herb Quinoa,3.49,78
3933541042,Maxi Wrap Dress,49.99,61
0168312328,Roasted Sweet Corn,1.99,42
9556706623,Teriyaki Stir-Fry Sauce,3.49,72
9324629352,Indestructible Dog Toy,15.99,36
1212271408,Art Supplies Organizer,18.99,26
7432529302,Glass Food Containers,34.99,90
6427624105,Digital Food Thermometer,19.99,22
3294736029,Mini Projector for Smartphones,99.99,20
6727409714,Camping Chair,29.99,89
6216095102,Whole Grain Hamburger Buns,2.69,8
6249841105,Peach Slices in Syrup,2.59,27
3806749183,Ceramic Bakeware Set,49.99,91
9575973348,Pretzel Bites,4.99,78
4306396177,Rechargeable Electric Screwdriver,39.99,39
1675154201,Thai Peanut Dressing,3.29,45
5448317731,Board Game,34.99,50
7426759172,Organic Quinoa Chips,3.99,27
0355583739,Almond Crunch Granola Bars,3.49,73
8545709595,Luxe Velvet Blazer,89.99,13
5472685281,First Aid Kit,29.99,81
8710134239,Chili Con Carne Mix,2.99,19
2581297980,Mini Meatballs,5.99,97
3924746141,Portable Phone Charger,29.99,74
9731880631,Ethical Wool Scarf,29.99,100
8483381281,Magnetic Whiteboard,34.99,97
8510366624,Saffron Rice Mix,2.99,59
8127655627,Vegan Cheese,4.99,18
5318815758,Blueberry Chia Jam,4.99,76
3791331124,Avocados,1.5,10
3070445357,Habanero Hot Sauce,3.79,87
3635209481,Buffalo Wing Sauce,3.99,72
